ncl,cltype,COmax_x,COmax_y,COmax_v,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim
102,2,459,511,614,1.396e+04,13.65,562.1,12.74,52.04,12.72,1.899,0.03153,1.876,0.02671,0.3858,0.03294,12.89,27.45,7.555,47.58,6243,633.6
103,2,456,513,593,8986,13.22,309,12.71,44.91,12.7,1.721,0.02702,1.615,0.02093,0.5315,0.0249,24.29,14.49,7.198,42.12,3271,355.2
104,2,467,349,464,1.685e+04,14.29,913.2,12.77,113.1,12.75,3.284,0.04491,3.631,0.06916,0.5396,0.01472,21.27,81.97,61.06,32.27,1.219e+04,1286
105,2,576,449,772,-81.2,12.69,104.1,12.69,11.99,12.69,0.05644,3.286e+09,0.88,0.0108,0.06026,-0,8.323,2.566,nan,0.2262,138.2,67.2
106,2,300,606,545,4.312e+04,15.27,2475,12.84,670.5,12.81,3.08,0.04952,3.013,0.04497,4.018,0.1989,36.61,13.37,20.38,29.32,1.246e+04,1123
107,2,456,512,616,9531,13.44,442.4,12.72,48.71,12.71,1.81,0.02527,1.84,0.02519,0.8815,0.03422,23,14.14,nan,64.3,4469,393.6
108,2,331,603,638,5437,13.12,356.3,12.71,25.36,12.7,0.8788,0.01387,1.127,0.01719,0.1296,1987,21.2,14.57,nan,26.03,3294,451.2
109,2,318,622,728,1125,12.9,191.2,12.69,38.37,12.69,1.312,0.02286,1.565,0.02924,0.4805,0.02817,7.007,5.765,nan,0.3575,1405,201.6
111,2,450,534,611,1.98e+04,14.06,841.2,12.76,28.84,12.73,2.74,0.04604,2.683,0.04288,0.8186,0.07269,36.11,20.86,33.35,14.78,7763,739.1
112,2,555,284,597,2224,12.9,184.1,12.69,124.7,12.7,0.9018,0.01073,0.9001,0.0113,0.9977,0.02047,21.63,11.93,nan,13.62,1497,192
113,2,561,523,789,109.6,12.88,128.2,12.69,28.71,12.69,1.185,0.01134,1.554,0.02723,0.4636,0.01257,13.89,7.336,nan,3.089,1543,220.8
114,2,516,508,572,1.647e+04,13.94,838.8,12.75,540.1,12.76,2.228,0.03386,2.19,0.02756,2.466,0.05348,19.58,16.45,nan,16.75,5137,460.8
115,2,274,663,586,1.244e+04,13.42,849.8,12.72,113.4,12.71,2.28,0.03669,2.462,0.03687,0.6536,0.03616,31.26,25.36,34.88,15.98,6358,873.5
116,2,448,191,419,1060,12.84,167.2,12.69,-24.87,12.69,0.5909,0.008577,0.5559,0.005849,0.1573,1.373,19.23,10.99,nan,10.82,1290,201.6
117,2,458,510,620,1.551e+04,13.78,697.8,12.74,199.7,12.74,1.892,0.02991,1.836,0.02401,1.384,0.05735,16.97,26.49,17.59,17.36,6082,508.8
