galaxy,Tmax,lum,lumerr,lum_mjy_pc2_sum,lum_mjy_pc2_mean,lum_mjy_pc2_max,lum_mjy_pc2_median,a,b,R,errR
Antennae,1.1953141520531268e-14,3.016318479071458e-08,3.0175810770291437e-09,4.375168632901253e-21,6.2147281717347345e-24,1.1839340053360288e-22,2.7426571198041127e-24,597.5925829742812,343.0250435454851,385.3254078439111,117.51099183986274
Henize2-10,4.0550783e-17,1.3933944678328034e-10,1.3933946496493233e-11,7.2162613e-22,1.9601949e-26,2.3999657e-24,nan,171.78885579978504,151.47415211837597,137.28683470978785,11.07037114294716
30Dor,4.828906037560548e-14,9.255678156160684e-11,9.255684623926613e-12,4.871583779900513e-13,2.5436688874677646e-18,9.259755960905462e-17,nan,17.045474909284504,28.3978679029902,18.72447085584034,5.551454414922894
NGC253,4.505254890264453e-14,8.027237083829406e-09,8.028403842444942e-10,1.8176164127646764e-18,2.5745274968338193e-21,1.7630883387156254e-20,nan,204.99900794418326,185.8069395751022,166.09974975277223,37.88543639737996
