ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim
41,2,1.58e+04,14.36,nan,nan,nan,nan,3.39,0.06176,1.243,0.06364,1.62,0.07342,19.77,17.2,4.544,9.418,4008,384
42,2,1.356e+05,20.95,nan,nan,nan,nan,18.33,0.2846,18.17,0.4381,18.4,0.6131,19.73,46.73,39.48,24.34,8570,547.2
43,2,5.052e+04,17.1,1584,12.9,150.4,12.85,5.72,0.09316,6.218,0.1874,0.6437,0.05664,34.1,19.16,29.13,14.98,5391,384
44,2,1.259e+05,18.68,1631,12.99,nan,nan,10.03,0.1559,1.926,0.1153,4.311,0.3363,21.2,36.63,34.27,20.36,7072,537.6
45,2,6357,13.16,nan,nan,nan,nan,2.779,0.04789,2.096,0.0705,0.3065,0.03306,12.07,13.74,nan,0.6199,967.5,144
46,2,9.172e+04,16.27,4992,12.9,5041,12.93,15.55,0.2413,15.54,0.2819,14.78,0.2276,15.55,15.35,nan,1.402,2350,240
47,2,2714,13.13,nan,nan,nan,nan,3.164,0.05469,0.4221,0.02769,0.5958,0.03949,24.37,9.292,nan,8.312,1474,230.4
48,2,1.065e+04,13.37,312.5,12.72,nan,nan,7.413,0.1124,3.193,0.1324,0.9526,0.08305,11.21,8.369,nan,1.716,898.4,153.6
49,2,2.069e+04,13.69,335,12.72,647.5,12.74,3.606,0.06566,1.717,0.06842,2.955,0.06767,21.76,12.37,nan,18.36,1889,211.2
50,2,9384,13.72,nan,nan,nan,nan,5.488,0.08217,1.658,0.06483,0.3943,0.01985,11.98,19.48,nan,9.783,1267,172.8
51,2,2.015e+04,13.63,532.6,12.73,449,12.73,3.747,0.06364,3.974,0.1083,3.733,0.1297,22.9,10.63,nan,17.45,1659,192
