ncl,cltype, COmax x, COmax y, COmax v, LCO, LCOerr, LHCO, LHCOerr,LHCN, LHCNerr, vel_dispCO, vel_dispCOerr,vel_dispHCO, vel_dispHCOerr,vel_dispHCN, vel_dispHCNerr, maj, min, R, Rerr, area, perim
79,1,321,594,680,5.627e+05,26.81,3.516e+04,13.82,1.056e+04,13.84,17.37,0.1992,16.83,0.181,16.42,0.2772,26.27,28.41,33.08,2.792,1.497e+04,681.6
80,2,313,609,637,3881,12.85,234.5,12.69,65.97,12.69,1.176,0.0193,1.121,0.01568,1.006,0.02048,22.24,6.655,nan,10.8,1336,201.6
81,1,321,594,680,4.6e+05,24.41,3.005e+04,13.57,9175,13.62,15.96,0.1924,15.52,0.1751,15.22,0.2739,26.4,24.89,29.29,2.201,1.336e+04,729.5
82,2,325,594,642,4673,12.91,287.9,12.7,50.48,12.7,0.9898,0.0167,0.8992,0.0109,0.4764,0.005347,12.43,23.25,nan,9.987,2096,230.4
83,2,313,607,644,2.215e+04,13.52,1206,12.73,367.1,12.73,2.743,0.0452,2.675,0.04101,2.536,0.05847,27.64,13.43,10.13,33.71,4170,364.8
84,2,305,625,650,1.011e+04,13.18,680.3,12.71,172.9,12.71,1.931,0.03002,2.006,0.03682,1.351,0.04408,17.9,11.46,nan,4.272,2442,268.8
85,1,304,623,662,6.521e+04,15.64,3905,12.86,1057,12.85,8.188,0.1254,8.284,0.1369,8.867,0.3455,11.63,19.87,nan,4.27,8132,758.3
86,0,574,305,647,-12.18,12.78,229.1,12.7,-36.03,12.69,0.3544,0.02579,1.079,0.0169,1.579,0.1163,18.49,7,nan,8.467,967.5,220.8
87,1,321,594,680,4.191e+05,23.49,2.783e+04,13.49,8563,13.53,14.9,0.183,14.56,0.1681,14.12,0.2381,26.13,24.67,28.73,2.411,1.062e+04,710.3
88,1,321,594,680,3.779e+05,22.42,2.549e+04,13.39,7895,13.44,13.49,0.1703,13.1,0.1522,12.57,0.2146,26.19,24.21,28.24,3.179,9606,681.6
89,1,304,622,662,3.017e+04,14.05,1864,12.76,438.1,12.76,5.736,0.09952,5.613,0.09187,5.739,0.2056,11.71,18.2,nan,8.495,2995,288
90,2,304,622,662,1.438e+04,13.35,928,12.72,181.7,12.72,2.555,0.0439,2.439,0.03571,2.751,0.104,16.96,12.69,nan,6.732,2695,278.4
91,2,320,595,663,5462,12.83,458.8,12.69,132.4,12.69,1.374,0.02254,1.346,0.02011,1.291,0.02593,9.238,10.16,nan,0.5063,668.1,115.2
92,2,321,594,680,6.093e+04,14.21,5353,12.77,1735,12.78,7.461,0.1126,7.522,0.1194,7.218,0.1309,13.79,14.72,nan,1.079,1359,163.2
93,2,305,624,666,1.06e+04,13.17,663.4,12.71,180,12.71,2.587,0.04494,2.419,0.03412,2.744,0.1143,10.1,15.38,nan,1.248,1751,220.8
94,1,344,612,780,1.982e+05,22.25,1.264e+04,13.37,3630,13.32,17.39,0.2964,18.16,0.3125,19.41,0.7023,21.02,16.08,3.885,35.04,1.553e+04,1123
95,1,310,622,762,2.222e+05,20.82,1.218e+04,13.25,3263,13.2,13.96,0.2054,14.47,0.2359,12.75,0.4063,18.13,31.3,24.94,17.65,1.728e+04,1171
96,1,322,597,718,9204,13.16,706.3,12.71,200.9,12.71,1.821,0.03413,1.74,0.02859,1.739,0.03572,13.87,23.63,nan,77.49,2373,268.8
97,2,322,597,718,2864,12.82,212.2,12.69,53.04,12.69,0.5822,0.007827,0.5861,0.00843,0.4409,0.004535,12.43,19.7,nan,12.28,1290,192
98,2,309,624,744,5.889e+04,15.11,3180,12.83,896.1,12.82,6.153,0.0882,6.405,0.1039,7.174,0.3126,14.47,27.54,13.23,14.17,6934,547.2
99,2,322,596,723,2513,12.82,240.1,12.69,64.26,12.69,0.7818,0.0121,0.7334,0.008687,0.7891,0.01388,10.93,20.04,nan,8.438,1129,163.2
100,2,352,613,738,1.493e+04,13.8,1096,12.75,252.3,12.74,3.28,0.05982,3.21,0.04943,2.827,0.1334,34.98,16.41,25.27,16.96,5713,508.8
101,1,344,612,780,1.309e+05,18.82,8124,13.09,2502,13.07,10.74,0.1684,10.68,0.1607,10.03,0.2553,20.53,16.21,1.012,127.5,1.147e+04,969.5
102,1,310,622,762,9.3e+04,16.37,5302,12.91,1455,12.89,7.258,0.1216,7.388,0.1235,6.365,0.2408,24.9,17.39,16.3,11.3,9169,643.2
103,1,310,622,762,3.942e+04,14.22,2281,12.77,772.7,12.77,4.355,0.0677,4.508,0.07552,5.122,0.2277,23.25,15.2,7.462,29.25,6450,489.6
104,2,310,622,762,1.255e+04,13.14,721.8,12.71,201.1,12.71,2.708,0.04244,2.669,0.04054,1.795,0.03635,17.39,10.66,nan,7.236,2718,307.2
105,1,344,612,780,3.25e+04,14.07,2163,12.76,770.2,12.77,4.694,0.08037,4.56,0.06972,4.719,0.1166,15.56,12.65,nan,1.391,3409,307.2
106,2,344,612,773,9485,13.1,655.2,12.71,289.8,12.71,2.188,0.03841,2.163,0.03687,2.227,0.04718,11.83,10.09,nan,1.188,2073,259.2
107,1,344,612,778,2.087e+04,13.59,1423,12.73,522,12.74,3.149,0.05414,3.127,0.05315,2.869,0.05013,14.92,11.75,nan,2.146,2972,297.6
108,2,309,623,766,9774,13.08,652,12.7,231.2,12.71,1.534,0.02392,1.478,0.0199,1.394,0.03197,17.94,12.76,nan,4.47,2949,393.6
109,1,309,624,772,2.419e+04,13.74,1501,12.74,205.6,12.73,2.665,0.03675,2.947,0.05051,1.083,0.04009,11.36,18.98,nan,8.132,5460,595.2
110,2,309,624,772,7909,13,513.1,12.7,35.7,12.7,1.184,0.02008,1.126,0.01613,0.1578,16.72,9.425,23.01,nan,14.42,2718,278.4
111,2,344,612,778,6686,12.97,481.9,12.7,122.5,12.7,0.7842,0.01224,0.7781,0.01157,0.8096,0.01506,18.37,13.62,nan,2.142,1912,211.2
112,2,309,623,777,5961,12.93,362.5,12.7,80.42,12.7,1.696,0.02626,1.789,0.03131,0.8217,0.0124,9.122,7.674,nan,1.023,2119,268.8
113,2,344,612,780,8138,13.02,535.2,12.7,159.6,12.7,1.178,0.01898,1.16,0.01874,1.299,0.04419,16.39,13.79,nan,4.17,1820,240
114,2,344,612,787,6030,12.97,407.4,12.7,92.88,12.7,1.94,0.0322,1.912,0.02914,1.983,0.06121,10.7,7.436,nan,0.8587,1244,172.8
