ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr,Q0,CM_SNR,SFR_SD
21,2,4.2e+05,4.645e+04,nan,nan,nan,nan,7.565,0.1234,nan,nan,nan,nan,38.51,27.11,43.36,5.375,6289,460.8,nan,nan,nan,nan,nan,nan,nan,nan,1.286e+05,1.361e+04,7.419,0.1117,4.698e+52,1.199,265.1
22,2,4.117e+05,4.565e+04,nan,nan,nan,nan,6.745,0.1094,nan,nan,nan,nan,38.72,17.31,29.88,16.01,6750,518.4,nan,nan,nan,nan,nan,nan,nan,nan,1.191e+05,1.271e+04,6.735,0.1035,2.886e+52,0.7457,261.2
23,2,1.941e+06,1.987e+05,6.131e+04,1.007e+04,2.696e+04,8421,13.25,0.1949,0.6909,0.09443,-0.173,13.19,59.71,40.39,74.13,16.89,1.831e+04,873.5,nan,nan,nan,nan,nan,nan,nan,nan,5.368e+05,5.452e+04,12.38,0.1409,3.09$
24,0,6.114e+05,6.756e+04,nan,nan,nan,nan,10.74,0.165,nan,nan,nan,nan,40.17,46.85,63.99,17.82,1.371e+04,700.7,nan,nan,nan,nan,nan,nan,nan,nan,8.676e+04,1.081e+04,10.78,0.1674,1.547e+53,1.882,299.2
25,0,7.574e+06,7.628e+05,nan,nan,nan,nan,29.72,0.6205,nan,nan,nan,nan,61.13,118.4,135.1,45.22,8.008e+04,4358,1.353e+05,2.057e+04,30.35,0.817,nan,nan,nan,nan,1.111e+06,1.129e+05,27.6,0.4304,8.819e+53,1.093,726.9
26,2,3.105e+06,3.154e+05,nan,nan,nan,nan,19.43,0.3462,nan,nan,nan,nan,59.76,37.89,71.45,17.18,2.645e+04,1382,5.345e+04,1.081e+04,17.05,0.3617,nan,nan,nan,nan,4.7e+05,4.861e+04,18.29,0.2521,4.588e+53,1.509,1014
27,2,3.257e+06,3.312e+05,nan,nan,nan,nan,24.93,0.4991,nan,nan,nan,nan,28.66,50.62,54.37,10.34,3.35e+04,1910,5.516e+04,1.175e+04,23.77,0.6569,nan,nan,nan,nan,4.658e+05,4.849e+04,23.5,0.3647,3.184e+53,0.8859,516.3
28,0,2.768e+07,2.771e+06,9.014e+05,9.439e+04,3.859e+05,4.755e+04,38.99,0.6241,21.36,0.249,32.58,0.8751,74.84,94.71,133.6,40.49,7.849e+04,2179,4.267e+04,1.179e+04,6.919,0.2845,nan,nan,nan,nan,4.328e+06,4.338e+05$
29,0,4.144e+07,4.149e+06,7.768e+05,8.822e+04,3.18e+05,5.112e+04,57.57,0.8946,18.42,0.6125,16.2,0.3965,150.8,102.5,199.9,52.76,2.03e+05,5212,nan,nan,nan,nan,nan,nan,nan,nan,5.18e+06,5.2e+05,56.7,0.7937,9.381e+54$
30,0,2.128e+07,2.132e+06,6.6e+05,7.099e+04,3.922e+05,4.705e+04,35.27,0.5554,32.74,0.634,0.8471,0.07216,94.9,198.3,221,90.63,9.196e+04,3369,2.027e+05,2.357e+04,22.12,0.4807,9.954e+04,1.951e+04,3.826,0.2595,3.332$
