ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr,Q0,CM_SNR,SFR_SD
90,0,3.107e+05,3.586e+04,3282,3251,nan,nan,7.484,0.1153,2.756,0.155,nan,nan,34.2,22.49,33.98,11.16,5345,451.2,nan,nan,nan,nan,nan,nan,nan,nan,3.667e+04,5438,7.433,0.1105,2.649e+52,0.8303,177.8
91,2,4.47e+04,8428,nan,nan,nan,nan,3.386,0.05931,nan,nan,nan,nan,14.19,16.62,nan,2.142,1659,201.6,nan,nan,nan,nan,nan,nan,nan,nan,6088,1714,3.231,0.04766,1.842e+52,3.625,408.5
92,0,1.705e+05,2.294e+04,nan,nan,nan,nan,7.478,0.0974,nan,nan,nan,nan,22.29,20.05,17.4,4.643,3294,278.4,nan,nan,nan,nan,nan,nan,nan,nan,2.7e+04,4375,7.761,0.1128,3.062e+52,1.306,159.8
93,2,2.477e+04,5474,nan,nan,nan,nan,1.751,0.02772,nan,nan,nan,nan,14.74,11.75,nan,3.221,1106,153.6,nan,nan,nan,nan,nan,nan,nan,nan,6427,1270,1.728,0.02595,1.206e+52,5.085,1440
94,0,4.496e+04,8064,nan,nan,nan,nan,2.743,0.04703,nan,nan,nan,nan,14.81,15.39,nan,1.342,1244,153.6,nan,nan,nan,nan,nan,nan,nan,nan,7595,1683,2.64,0.03742,3.77e+51,0.845,468
95,1,1.446e+07,1.449e+06,5.491e+05,5.874e+04,2.091e+05,2.912e+04,44.23,0.6072,39.06,0.6021,42.91,1.138,67.3,87.88,121.5,42.31,3.61e+04,1248,nan,nan,nan,nan,281,1965,0.6437,0.05862,1.837e+06,1.849e+05,45.9,0.726$
96,1,1.078e+07,1.081e+06,4.276e+05,4.615e+04,1.599e+05,2.328e+04,43.77,0.5805,38.64,0.5999,43.16,1.215,30.04,91.88,80.1,47.1,2.536e+04,940.7,nan,nan,nan,nan,292.2,1413,0.4404,0.03881,1.355e+06,1.365e+05,44.82,0$
97,2,4.295e+05,4.691e+04,nan,nan,nan,nan,9.44,0.1463,nan,nan,nan,nan,33.75,19.63,29.54,13.29,4584,364.8,nan,nan,nan,nan,nan,nan,nan,nan,6.966e+04,8150,9.474,0.148,6.394e+52,1.805,389.2
98,2,5.282e+06,5.305e+05,2.476e+05,2.726e+04,8.516e+04,1.419e+04,18.25,0.238,16.28,0.2203,17.6,0.3362,31.58,41.69,51,5.6,1.357e+04,614.4,nan,nan,nan,nan,nan,nan,nan,nan,6.869e+05,6.958e+04,17.12,0.1853,1.046e+5$
99,2,7.25e+05,7.635e+04,nan,nan,nan,nan,14.61,0.2071,nan,nan,nan,nan,26.45,17.85,19.23,10.72,6128,508.8,nan,nan,nan,nan,nan,nan,nan,nan,1.123e+05,1.245e+04,14.47,0.1965,3.566e+53,6.251,406.7
100,2,6.201e+05,6.505e+04,2.602e+04,5158,8675,4349,9.609,0.1483,9.395,0.1768,8.332,0.3954,18.97,25.13,19.55,7.243,3824,316.8,nan,nan,nan,nan,nan,nan,nan,nan,7.777e+04,8939,9.152,0.1218,3.858e+52,1.004,521.2
101,2,2.876e+05,3.466e+04,nan,nan,nan,nan,8.066,0.1536,nan,nan,nan,nan,25.41,48.44,48.73,31.19,6957,489.6,nan,nan,nan,nan,nan,nan,nan,nan,4.296e+04,6104,7.736,0.1213,4.04e+52,1.085,327
102,2,4.821e+05,5.36e+04,nan,nan,nan,nan,6.92,0.1061,nan,nan,nan,nan,45.99,24.46,45.76,19.54,7740,451.2,nan,nan,nan,nan,nan,nan,nan,nan,7.737e+04,9353,6.736,0.0929,1.36e+53,2.489,357.5
103,1,2.102e+06,2.128e+05,7.35e+04,1.049e+04,3.267e+04,8032,27.9,0.3491,27.6,0.5754,20.79,0.8384,22.43,33.38,33.17,9.598,5782,451.2,nan,nan,nan,nan,nan,nan,nan,nan,2.69e+05,2.788e+04,29.03,0.4252,4.222e+53,3.95$
104,2,1.865e+06,1.889e+05,6.608e+04,9588,2.922e+04,7416,22.12,0.2905,21.78,0.4266,16.56,0.5158,22.44,34.42,34.11,3.031,5414,432,nan,nan,nan,nan,nan,nan,nan,nan,2.338e+05,2.434e+04,22.14,0.2981,3.389e+53,3.716,5$
105,2,1.602e+06,1.636e+05,6.04e+04,9583,nan,nan,18.19,0.2288,15.95,0.242,nan,nan,32.71,21.84,31.78,12.59,7579,518.4,nan,nan,nan,nan,nan,nan,nan,nan,2.33e+05,2.446e+04,18.02,0.2479,3.126e+53,2.842,491.9
106,0,1.443e+05,2.065e+04,nan,nan,nan,nan,7.455,0.1073,nan,nan,nan,nan,16.56,24.07,13.22,15.27,2857,268.8,nan,nan,nan,nan,nan,nan,nan,nan,2.453e+04,4122,7.482,0.1032,3.72e+52,1.714,372.5
107,0,2.266e+05,2.982e+04,nan,nan,nan,nan,12.81,0.2229,nan,nan,nan,nan,27.38,12.32,3.633,99.15,5782,422.4,nan,nan,nan,nan,nan,nan,nan,nan,3.771e+04,5754,12.76,0.2016,2.6e+53,6.953,397.3
108,0,2.22e+05,2.556e+04,2293,2224,4845,2658,6.209,0.1124,1.862,0.1737,3.835,0.2535,24.96,14.51,8.898,24.17,2603,249.6,nan,nan,nan,nan,nan,nan,nan,nan,3.82e+04,4760,5.9,0.08675,-5.743e+51,-0.3599,335.6
109,0,5.541e+04,1.244e+04,nan,nan,nan,nan,4.433,0.06989,nan,nan,nan,nan,35.97,13.48,20.08,30.19,3571,316.8,nan,nan,nan,nan,nan,nan,nan,nan,1.579e+04,2956,4.344,0.06218,1.233e+52,0.9978,207.6
  
