ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr
36,2,8.677e+04,9500,nan,nan,nan,nan,6.735,0.1084,nan,nan,nan,nan,39.06,19.56,33.78,18.79,7533,508.8,nan,nan,nan,nan,nan,nan,nan,nan,2.493e+04,2640,6.726,0.1029
37,2,5.826e+04,6325,2672,626.8,1337,592,7.292,0.1136,6.488,0.1014,5.589,0.1158,22.27,14.96,1.568,79.4,3778,384,nan,nan,nan,nan,nan,nan,nan,nan,6990,891,7.219,0.1059
38,2,1.095e+05,1.145e+04,4007,863.8,2460,829.1,9.572,0.1535,9.192,0.1619,9.287,0.2375,24.03,14.84,8.022,32.31,5114,422.4,3878,760.1,7.782,0.06606,nan,nan,nan,nan,1.218e+04,1430,9.613,0.148
39,2,2.228e+04,3079,nan,nan,nan,nan,6.877,0.1147,nan,nan,nan,nan,28.89,11.05,nan,54.78,1866,230.4,nan,nan,nan,nan,nan,nan,nan,nan,3368,583.5,6.691,0.1011
40,2,4.236e+04,4930,nan,nan,nan,nan,12.17,0.2047,nan,nan,nan,nan,12.87,17.75,nan,6.068,2119,220.8,nan,nan,nan,nan,nan,nan,nan,nan,4598,728.7,12.02,0.1901
41,2,1.58e+04,2467,nan,nan,nan,nan,3.39,0.06176,nan,nan,nan,nan,19.77,17.2,4.544,9.418,4008,384,nan,nan,nan,nan,nan,nan,nan,nan,3242,534.6,3.254,0.04884
42,2,1.356e+05,1.435e+04,nan,nan,nan,nan,18.33,0.2846,nan,nan,nan,nan,19.73,46.73,39.48,24.34,8570,547.2,nan,nan,nan,nan,nan,nan,nan,nan,1.572e+04,1893,18.85,0.3024
43,2,5.052e+04,5997,1584,675.3,nan,nan,5.72,0.09316,6.218,0.1874,nan,nan,34.1,19.16,29.13,14.98,5391,384,nan,nan,nan,nan,nan,nan,nan,nan,9656,1207,5.893,0.08638
44,2,1.259e+05,1.317e+04,nan,nan,nan,nan,10.03,0.1559,nan,nan,nan,nan,21.2,36.63,34.27,20.36,7072,537.6,1450,625.1,3.997,0.08731,nan,nan,nan,nan,1.826e+04,2021,10.05,0.1573
45,2,6357,1181,nan,nan,nan,nan,2.779,0.04789,nan,nan,nan,nan,12.07,13.74,nan,0.6199,967.5,144,nan,nan,nan,nan,nan,nan,nan,nan,800.7,237,2.671,0.03963
46,2,9.172e+04,9611,4992,831.9,5041,870.9,15.55,0.2413,15.54,0.2819,14.78,0.2276,15.55,15.35,nan,1.402,2350,240,nan,nan,nan,nan,nan,nan,nan,nan,5983,879.1,15.57,0.2384
47,2,2714,1000,nan,nan,nan,nan,3.164,0.05469,nan,nan,nan,nan,24.37,9.292,nan,8.312,1474,230.4,nan,nan,nan,nan,nan,nan,nan,nan,783.8,229.7,3.121,0.05037
48,2,1.065e+04,1601,nan,nan,nan,nan,7.413,0.1124,nan,nan,nan,nan,11.21,8.369,nan,1.716,898.4,153.6,nan,nan,nan,nan,nan,nan,nan,nan,2072,339,7.69,0.1302
49,2,2.069e+04,2527,335,291.2,647.5,348.7,3.606,0.06566,1.717,0.06842,2.955,0.06767,21.76,12.37,nan,18.36,1889,211.2,nan,nan,nan,nan,nan,nan,nan,nan,3153,453.1,3.482,0.05448
50,2,9384,1746,nan,nan,nan,nan,5.488,0.08217,nan,nan,nan,nan,11.98,19.48,nan,9.783,1267,172.8,nan,nan,nan,nan,nan,nan,nan,nan,1617,367.6,5.564,0.08439
51,2,2.015e+04,2458,532.6,313.6,449,321.5,3.747,0.06364,3.974,0.1083,3.733,0.1297,22.9,10.63,nan,17.45,1659,192,nan,nan,nan,nan,nan,nan,nan,nan,2915,429.7,3.634,0.0545
52,2,3.467e+04,4491,nan,nan,nan,nan,9.643,0.1913,nan,nan,nan,nan,28.13,13.92,12.5,14.15,4331,422.4,nan,nan,nan,nan,nan,nan,nan,nan,5873,868.7,9.026,0.1379
