ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr
45,2,3.686e+04,4481,nan,nan,nan,nan,6.269,0.1061,nan,nan,nan,nan,16.04,23.46,10.79,18.73,3893,384,nan,nan,nan,nan,nan,nan,nan,nan,4388,720.5,6.215,0.0989
46,2,2.067e+05,2.119e+04,1.061e+04,1514,1.015e+04,1531,20.11,0.3201,20.27,0.3868,19.63,0.3391,18.51,19.74,9.359,5.517,4653,336,nan,nan,nan,nan,nan,nan,nan,nan,1.4e+04,1749,19.76,0.2902
47,2,7500,1847,nan,nan,nan,nan,3.903,0.06449,nan,nan,nan,nan,33.07,12.2,13.71,10.2,2834,297.6,nan,nan,nan,nan,nan,nan,nan,nan,2127,434.2,3.836,0.05807
48,2,3.339e+04,3972,nan,nan,nan,nan,8.561,0.1344,nan,nan,nan,nan,15.22,12.55,nan,2.169,1958,211.2,nan,nan,nan,nan,nan,nan,nan,nan,5903,762.3,8.781,0.143
49,2,1.414e+05,1.471e+04,2641,865.6,2969,927.9,6.667,0.0996,4.733,0.1772,5.362,0.1732,23.49,54.71,50.18,11.4,8132,518.4,nan,nan,nan,nan,nan,nan,nan,nan,2.021e+04,2216,6.663,0.09839
50,2,2.002e+04,3032,nan,nan,nan,nan,6.755,0.09869,nan,nan,nan,nan,15.72,23.08,8.986,20.08,2327,230.4,nan,nan,nan,nan,nan,nan,nan,nan,3429,615.1,6.802,0.09732
51,2,7.218e+04,7715,1791,612.7,1434,610.7,6.401,0.09065,6.148,0.1482,5.593,0.159,32.46,15.36,20.96,16.68,4884,432,nan,nan,nan,nan,nan,nan,nan,nan,9364,1118,6.393,0.09095
52,2,1.261e+05,1.38e+04,nan,nan,nan,nan,14.49,0.2827,nan,nan,nan,nan,37.03,17.15,28.28,15.15,1.168e+04,883.1,nan,nan,nan,nan,nan,nan,nan,nan,1.971e+04,2338,13.52,0.2007
53,2,2.118e+05,2.185e+04,nan,nan,nan,nan,15.7,0.2769,nan,nan,nan,nan,29.94,17,21.6,13.18,1.131e+04,595.2,3371,942.9,7.037,0.2746,nan,nan,nan,nan,2.88e+04,3122,15.47,0.2551
54,2,1.511e+05,1.568e+04,3992,948.4,3698,987.4,8.891,0.1559,7.071,0.2113,0.499,0.02792,45.38,16.74,33.61,37.18,7717,528,nan,nan,nan,nan,nan,nan,nan,nan,2.247e+04,2434,8.71,0.1366
